fl,hp,lv,sp,pt,ar,st
1,100,9,84,0,18,2
1,80,14,61,0,18,2
1,79,12,74,1,18,1
1,102,7,79,0,17,1
1,90,6,105,0,17,0
1,88,2,133,0,17,0
1,82,13,61,0,17,0
1,82,11,61,0,16,0
1,80,10,69,0,16,0
1,80,12,81,1,16,1
1,78,9,103,0,16,1
1,76,6,92,0,16,0
1,107,8,83,1,15,1
1,104,7,76,1,15,2
1,103,9,88,1,15,1
1,103,7,121,0,15,2
1,102,5,125,0,15,0
1,95,7,118,0,15,2
1,95,10,79,1,15,2
1,90,13,95,0,15,0
1,86,12,108,0,15,0
1,81,10,69,1,15,1
1,81,10,96,0,15,0
1,80,10,69,0,15,3
1,78,7,101,1,15,0
1,78,8,65,0,15,3
1,77,8,102,1,15,0
1,73,5,127,0,15,0
1,103,12,83,1,14,0
1,95,9,93,0,14,2
1,95,10,86,0,14,1
1,95,6,108,1,14,1
1,92,13,93,0,14,1
1,90,6,107,0,14,2
1,87,11,67,1,14,1
1,85,14,92,1,14,0
1,85,6,105,2,14,1
1,83,5,125,2,14,0
1,82,6,122,1,14,0
1,81,11,90,0,14,1
1,81,7,83,0,14,2
1,80,11,64,1,14,1
1,80,13,54,1,14,0
1,80,11,68,1,14,1
1,78,9,77,2,14,0
1,78,9,95,0,14,1
1,78,10,112,0,14,1
1,77,9,155,1,14,0
1,76,5,112,2,14,0
1,73,4,86,1,14,1
1,106,7,84,1,13,1
1,103,6,116,1,13,0
1,101,10,115,0,13,1
1,100,9,91,1,13,1
1,91,4,110,0,13,2
1,90,8,117,1,13,0
1,90,8,98,0,13,1
1,89,8,83,1,13,2
1,87,10,69,1,13,0
1,86,10,66,0,13,3
1,84,13,72,1,13,1
1,84,13,79,0,13,0
1,84,14,67,1,13,2
1,82,15,66,1,13,1
1,82,13,54,0,13,1
1,82,14,40,0,13,2
1,80,11,63,0,13,0
1,80,13,56,0,13,2
1,80,13,50,2,13,2
1,79,11,109,1,13,0
1,79,5,118,0,13,1
1,77,8,100,1,13,1
1,76,6,83,1,13,2
1,114,15,43,0,12,2
1,112,13,127,0,12,0
1,111,12,106,2,12,1
1,109,10,126,0,12,0
1,108,11,86,0,12,2
1,108,9,67,4,12,0
1,108,15,52,1,12,1
1,108,9,80,1,12,2
1,108,9,90,0,12,2
1,107,8,82,2,12,1
1,106,7,77,1,12,2
1,106,13,78,1,12,0
1,106,7,77,0,12,2
1,106,7,123,0,12,2
1,106,7,117,2,12,1
1,106,7,98,2,12,0
1,106,7,118,1,12,0
1,105,11,82,1,12,2
1,104,5,130,2,12,1
1,103,6,111,0,12,1
1,103,11,89,2,12,0
1,103,6,101,1,12,2
1,103,4,108,0,12,3
1,103,4,90,2,12,1
1,102,3,128,1,12,2
1,102,11,90,0,12,0
1,102,6,107,2,12,0
1,102,8,92,2,12,0
1,101,8,99,1,12,3
1,101,2,89,1,12,3
1,101,9,75,1,12,1
1,101,2,126,0,12,1
1,101,3,132,1,12,1
1,101,10,98,0,12,0
1,100,12,124,0,12,0
1,100,1,91,3,12,1
1,100,9,130,0,12,1
1,99,12,64,1,12,1
1,99,15,59,3,12,1
1,98,7,105,2,12,1
1,98,10,72,2,12,2
1,98,7,81,1,12,1
1,97,9,92,1,12,1
1,97,7,98,3,12,1
1,97,14,59,1,12,0
1,97,10,64,1,12,1
1,96,10,113,0,12,1
1,96,10,116,0,12,2
1,96,4,127,0,12,2
1,96,6,149,0,12,0
1,95,6,90,3,12,0
1,95,12,57,1,12,2
1,94,9,69,3,12,2
1,94,9,78,3,12,1
1,94,9,79,1,12,0
1,94,8,68,0,12,0
1,94,7,75,1,12,3
1,94,10,84,1,12,1
1,94,11,103,1,12,1
1,94,10,93,1,12,0
1,93,9,70,2,12,1
1,93,12,102,1,12,1
1,93,10,79,0,12,0
1,93,6,106,2,12,1
1,93,11,69,2,12,0
1,93,11,96,2,12,0
1,92,10,117,0,12,3
1,92,9,96,2,12,1
1,92,7,95,3,12,0
1,92,9,94,2,12,1
1,92,13,63,0,12,2
1,92,12,55,1,12,2
1,92,10,76,2,12,0
1,92,14,57,3,12,0
1,92,7,105,1,12,1
1,91,9,108,1,12,1
1,91,10,118,0,12,0
1,91,10,88,2,12,2
1,91,7,102,1,12,1
1,91,8,117,0,12,2
1,91,8,106,2,12,0
1,91,9,94,0,12,1
1,91,12,86,0,12,1
1,91,14,95,0,12,0
1,90,7,74,2,12,2
1,90,11,83,2,12,0
1,89,12,111,0,12,1
1,89,12,95,0,12,1
1,89,10,127,2,12,0
1,89,14,94,0,12,0
1,88,14,57,1,12,0
1,88,6,100,2,12,1
1,88,6,130,0,12,1
1,88,13,124,0,12,0
1,88,9,76,3,12,1
1,87,11,65,3,12,0
1,87,17,59,0,12,2
1,87,9,85,3,12,0
1,87,9,91,1,12,2
1,86,7,120,1,12,2
1,86,7,123,4,12,0
1,86,10,88,0,12,0
1,86,8,117,2,12,0
1,86,9,96,1,12,1
1,86,8,134,0,12,2
1,86,14,54,2,12,2
1,86,14,89,2,12,0
1,85,9,71,1,12,2
1,85,15,56,1,12,1
1,85,13,41,2,12,1
1,85,4,107,2,12,1
1,85,10,66,2,12,0
1,85,16,103,2,12,0
1,85,10,65,2,12,1
1,84,5,110,0,12,1
1,84,12,67,2,12,1
1,84,11,99,2,12,1
1,83,4,128,1,12,2
1,83,14,74,1,12,1
1,83,14,92,1,12,0
1,83,12,101,1,12,1
1,83,12,84,0,12,1
1,83,8,119,1,12,2
1,82,2,109,1,12,2
1,82,12,146,0,12,0
1,82,10,105,1,12,1
1,82,12,103,2,12,0
1,82,14,82,0,12,0
1,82,15,71,0,12,2
1,82,14,64,0,12,1
1,82,14,79,0,12,1
1,82,13,96,2,12,0
1,82,10,93,2,12,1
1,82,9,90,0,12,3
1,81,8,123,1,12,0
1,81,13,56,1,12,1
1,81,15,91,0,12,0
1,81,10,71,3,12,2
1,81,10,84,3,12,1
1,81,15,52,0,12,2
1,81,8,100,2,12,1
1,81,14,74,1,12,1
1,81,12,76,1,12,1
1,81,11,107,1,12,1
1,81,13,76,2,12,0
1,81,12,81,0,12,1
1,80,12,87,1,12,0
1,80,11,58,1,12,2
1,80,7,108,2,12,2
1,80,12,80,3,12,0
1,80,9,72,3,12,1
1,80,11,71,3,12,0
1,80,7,69,1,12,2
1,80,11,66,0,12,1
1,80,10,74,0,12,2
1,80,11,90,1,12,0
1,80,10,114,0,12,2
1,80,3,96,1,12,0
1,80,11,59,2,12,1
1,79,11,69,0,12,0
1,79,13,96,2,12,0
1,79,9,88,0,12,2
1,79,9,69,4,12,0
1,79,10,88,2,12,1
1,79,11,69,2,12,0
1,78,9,98,1,12,2
1,78,8,76,2,12,1
1,78,9,109,2,12,1
1,77,6,139,0,12,2
1,77,9,120,1,12,0
1,77,5,127,3,12,0
1,77,9,75,2,12,0
1,77,7,102,1,12,1
1,77,9,76,1,12,2
1,77,9,66,1,12,2
1,77,5,107,1,12,1
1,77,7,107,1,12,0
1,76,9,119,0,12,0
1,76,6,69,0,12,2
1,76,7,69,2,12,0
1,57,18,40,5,12,0
1,109,10,124,1,11,0
1,106,7,116,1,11,1
1,105,6,89,0,11,2
1,104,12,88,1,11,0
1,104,11,90,1,11,1
1,104,10,101,1,11,1
1,103,4,112,1,11,1
1,102,10,64,3,11,1
1,101,9,83,2,11,0
1,101,9,76,0,11,1
1,100,9,85,0,11,3
1,100,9,109,0,11,4
1,100,12,82,2,11,0
1,100,5,108,3,11,0
1,100,8,80,2,11,2
1,99,12,60,1,11,3
1,98,12,87,0,11,1
1,98,9,136,0,11,1
1,97,9,114,1,11,0
1,97,8,100,2,11,0
1,96,7,133,1,11,0
1,95,7,119,0,11,2
1,94,7,107,1,11,2
1,94,12,101,1,11,1
1,94,8,97,2,11,1
1,93,7,105,1,11,0
1,93,8,76,0,11,2
1,93,5,126,2,11,1
1,92,10,66,2,11,1
